txn_id,timestamp,txn_type,channel,amount,status,payer_upi,payee_upi,payer_device_id,payee_device_id,payer_city,payee_city,is_fraud,payer_lat,payer_lon,payee_lat,payee_lon
UPI1033553,2025-01-24 07:13:00,P2M,QR,965.75,SUCCESS,wriddhishc@oksbi,turvisarka@okaxis,dev_67167599,dev_57381303,Chennai,Mumbai,0,13.010152,80.149609,19.268977,72.94346
UPI1009427,2025-01-07 13:07:00,P2P,DeepLink,1454.11,SUCCESS,jhalakchad@okhdfcbank,aarushkeer@okaxis,dev_40445397,dev_77500837,Jaipur,Pune,0,26.90249,75.647761,18.641976,73.826701
UPI1000199,2025-01-01 03:19:00,P2M,Intent,1807.51,SUCCESS,barkhamaha@oksbi,oshanair@okhdfcbank,dev_7660973,dev_14609780,Chennai,Kolkata,0,13.037115,80.321958,22.524512,88.253898
UPI1012447,2025-01-09 15:27:00,P2M,Intent,817.92,SUCCESS,aayushvohr@okicici,bhavnalank@okicici,dev_3978629,dev_21151283,Hyderabad,Delhi,0,17.575641,78.349395,28.725076,77.362832
UPI1039489,2025-01-28 10:09:00,P2M,QR,187.04,SUCCESS,paninisesh@oksbi,chaitanyav@okicici,dev_12206949,dev_86057425,Chennai,Bengaluru,0,12.930532,80.142929,12.914867,77.569873
UPI1042724,2025-01-30 16:04:00,P2M,DeepLink,1261.29,SUCCESS,tanvimadan@okicici,chasmumcha@okyesbank,dev_83248706,dev_78222672,Mumbai,Chennai,0,19.200063,72.735829,13.166174,80.313212
UPI1010822,2025-01-08 12:22:00,AutoPay,QR,409.72,SUCCESS,yashodapan@okhdfcbank,kavyatanej@okyesbank,dev_76388325,dev_14315702,Jaipur,Bengaluru,0,26.862726,75.771238,13.129075,77.453492
UPI1049498,2025-02-04 08:58:00,P2P,QR,383.78,SUCCESS,aashidate@okaxis,hemabanik@okicici,dev_4654890,dev_96207588,Jaipur,Chennai,0,26.934414,75.743871,13.121902,80.170831
UPI1004144,2025-01-03 21:04:00,P2M,QR,2657.16,SUCCESS,warinderve@okhdfcbank,vrindacoma@okicici,dev_9982627,dev_36366004,Hyderabad,Hyderabad,0,17.525664,78.424228,17.454548,78.329207
UPI1036958,2025-01-26 15:58:00,P2P,QR,466.33,SUCCESS,urvashiman@okhdfcbank,yugbal@okaxis,dev_17982732,dev_4870943,Pune,Delhi,0,18.606249,73.832972,28.596566,77.164844
